"ListPrice","Bedrooms","TotalBaths","Style","Age","LotSize","SQFT","Taxes","IsFixerUpper","Elementary","JrHigh","High","Subdivision","City","County","Fireplace","FloodPlain"
135000,3,2,"2 Story",5,0.03,1270,1114,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","PARKSIDE","REXBURG","Madison","No","U"
107000,2,2,"2 Story",5,0.01,1087,654,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","MEADOWS","REXBURG","Madison","No","N"
177000,4,2,"1 Story",40,1.17,3286,1211,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","NONE","REXBURG","Madison","No","U"
199500,3,2,"1 Story",1,0.23,1950,1196,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","STONEBRIDGE","REXBURG","Madison","No","N"
276900,5,3,"1 Story",7,2.55,3334,1545,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","N"
149900,5,3,"1 Story",35,0.23,2548,1286,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","STARLITE ADDITION","REXBURG","Madison","Yes","N"
115000,2,1,"1 Story",35,0.38,832,449,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","U"
142900,3,3,"2 Story",0,0.03,1380,1143,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","ROCK CREEK HOLLOW","REXBURG","Madison","No","N"
142900,3,3,"2 Story",0,0.03,1420,1143,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","ROCK CREEK HOLLOW","REXBURG","Madison","No","N"
139900,3,3,"2 Story",0,0.03,1380,1143,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","ROCK CREEK HOLLOW","REXBURG","Madison","No","N"
142900,3,3,"2 Story",0,0.03,1380,1143,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","ROCK CREEK HOLLOW","REXBURG","Madison","No","N"
330000,3,2,"3 Level",1,1.17,3000,NA,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","TAYLOR FALLS ESTATES","REXBURG","Madison","No","N"
164900,5,3,"1 Story",12,0.3,2372,2245,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","RICKS-PALMER","REXBURG","Madison","No","N"
125000,2,2,"2 Story",5,0.07,1230,834,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
134500,3,2,"1 Story",15,3,1560,701,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","U"
119900,4,2,"Split Entry",33,0.2,1870,832,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RICKS-WADE","REXBURG","Madison","No","N"
184900,3,2,"1 Story",7,0.56,2716,1004,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","CEDAR BUTTE","REXBURG","Madison","No","U"
399000,3,2,"1.5 Story",5,2.3,2242,1690,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","RUSTLER HIDEOUT","MENAN","Madison","Yes","N"
154900,5,2,"1 Story",27,0.19,2080,1174,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","RICKS-PALMER","REXBURG","Madison","Yes","N"
895000,7,6,"2 Story",4,0.62,9496,3618,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","HARVEST HEIGHTS","REXBURG","Madison","No","U"
155000,4,2,"1.5 Story",65,4.4,1651,815,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","U"
109900,2,2,"2 Story",2,0.06,980,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
107900,2,2,"2 Story",0,0.06,980,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
151000,3,2,"2 Story",1,0.16,1363,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
154000,3,3,"2 Story",1,0.16,1403,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
169000,4,4,"2 Story",1,0.16,2116,NA,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
349000,6,4,"1 Story",4,0.32,4600,4017,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","EAGLEWOOD","REXBURG","Madison","Yes","N"
236000,3,2,"1 Story",4,0.24,3367,2175,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","STONEBRIDGE","REXBURG","Madison","Yes","U"
169900,5,2,"1 Story",40,0.66,2112,852,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","REXBURG TOWNSITE","REXBURG","Madison","Yes","U"
102000,2,1,"1 Story",7,0.07,890,1234,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","CONTINENTAL PARK","REXBURG","Madison","No","U"
179900,6,2,"1 Story",12,0.2,2304,1104,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","RICKS-PALMER","REXBURG","Madison","No","N"
129000,2,2,"2 Story",3,0.03,1250,1063,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","N"
135900,2,1,"1 Story",58,0.16,2022,828,"Yes","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","REXBURG TOWNSITE","REXBURG","Madison","Yes","N"
169900,3,3,"1 Story",33,0.37,2924,1013,"No","CENTRAL 215EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","NONE","SUGAR CITY","Madison","Yes","Y"
369000,3,3,"1 Story",4,5,4459,3177,"No","CENTRAL 322EL ","SUGAR SALEM 322JH ","SUGAR SALEM 322HS ","NONE","REXBURG","Madison","Yes","U"
259900,5,4,"1 Story",7,8.5,3540,2038,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","No","N"
209900,3,2,"1 Story",4,0.21,3400,2128,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","U"
105000,2,2,"2 Story",5,0.01,1050,642,"No","BURTON 321EL ","MADISON 321JH ","MADISON 321HS ","MEADOWS","REXBURG","Madison","No","N"
239000,3,2,"1 Story",3,2,3360,1492,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","CLEMENTS ACRES","REXBURG","Madison","No","N"
192000,4,3,"1 Story",6,1,2846,2169,"No","HIBBARD 321EL ","MADISON 321JH ","MADISON 321HS ","CLEMENTS ACRES","REXBURG","Madison","No","N"
415000,5,3,"1 Story",12,0.3,4531,4495,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","RANDALL INDIAN HILLS","REXBURG","Madison","Yes","N"
189900,3,3,"3 Level",12,0.18,1893,2523,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","Mickelsen","REXBURG","Madison","Yes","U"
112000,2,2,"2 Story",4,0.07,1256,841,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERWOODS TOWNHOUSES","REXBURG","Madison","No","U"
349900,5,3,"2 Story",2,2.03,4220,1650,"No","SOUTH FORK ","MADISON 321JH ","MADISON 321HS ","NONE","REXBURG","Madison","Yes","U"
102000,2,1,"1 Story",7,0.07,890,1217,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","CONTINENTAL PARK","REXBURG","Madison","No","U"
159000,4,3,"3 Level",40,0.27,2398,957,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","RIGBY-MAD","REXBURG","Madison","Yes","N"
174900,4,3,"3 Level",7,0.2,2141,2800,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","SPRUCE ADDITION","REXBURG","Madison","No","N"
190000,3,2,"1.5 Story",8,1,2095,1036,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","RIVERSIDE ACRES","REXBURG","Madison","Yes","Y"
239000,3,2,"1 Story",2,0.32,3606,1651,"No","ADAMS 321EL ","MADISON 321JH ","MADISON 321HS ","STONEBRIDGE","REXBURG","Madison","Yes","N"
269900,6,3,"1 Story",5,0.22,3426,2274,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","HENDERSON SUB","REXBURG","Madison","Yes","U"
190000,5,3,"1 Story",33,0.21,3470,1559,"No","KENNEDY 321EL ","MADISON 321JH ","MADISON 321HS ","RICKS-WADE","REXBURG","Madison","Yes","N"
249900,5,3,"1 Story",33,1,3100,1853,"No","LINCOLN 321EL ","MADISON 321JH ","MADISON 321HS ","REXBURG HEIGHTS","REXBURG","Madison","Yes","N"
