"Release.Date","Movie","Production.Budget","Worldwide.Gross"
"7/19/2002","Stuart Little 2",1.2e+08,165779308
"7/3/2002","Men in Black 2",1.4e+08,441767803
"6/21/2002","Minority Report",1.02e+08,358824714
"6/14/2002","Windtalkers",1.15e+08,77628265
"5/16/2002","Star Wars Ep. II: Attack of the Clones",1.15e+08,648200000
"5/3/2002","Spider-Man",1.39e+08,821706375
"12/25/2001","Ali",1.09e+08,87683966
"12/19/2001","The Lord of the Rings: The Fellowship of the Ring",1.09e+08,887217688
"11/16/2001","Harry Potter and the Sorcerer?s Stone",1.25e+08,974755371
"11/2/2001","Monsters, Inc.",1.15e+08,559757719
"7/27/2001","Planet of the Apes",1e+08,362211740
"7/11/2001","Final Fantasy: The Spirits Within",1.37e+08,85131830
"5/25/2001","Pearl Harbor",151500000,449239855
"4/27/2001","Town & Country",1.05e+08,10364769
"12/15/2000","The Emperor's New Groove",1e+08,169296573
"11/17/2000","How the Grinch Stole Christmas",1.23e+08,345141403
"6/30/2000","The Perfect Storm",1.2e+08,328711434
"6/28/2000","The Patriot",1.1e+08,215300000
"6/9/2000","Gone in 60 Seconds",103300000,232643008
"5/24/2000","Mission: Impossible 2",1.2e+08,549588516
"5/19/2000","Dinosaur",127500000,356148063
"5/5/2000","Gladiator",1.03e+08,457683805
"12/17/1999","Stuart Little",1.05e+08,298815224
"11/24/1999","End of Days",1e+08,212026975
"11/19/1999","The World is Not Enough",1.35e+08,361730660
"8/27/1999","The 13th Warrior",1.25e+08,61694788
"6/30/1999","Wild Wild West",1.75e+08,221229335
"6/16/1999","Tarzan",1.45e+08,448191819
"5/19/1999","Star Wars Ep. I: The Phantom Menace",1.15e+08,1027044677
"7/10/1998","Lethal Weapon 4",1.4e+08,284690200
"7/1/1998","Armageddon",1.4e+08,554595209
"5/19/1998","Godzilla",1.25e+08,375827709
"12/19/1997","Titanic",2e+08,2207615668
"12/19/1997","Tomorrow Never Dies",1.1e+08,339479326
"6/20/1997","Batman & Robin",1.25e+08,238300947
"6/13/1997","Speed II: Cruise Control",1.1e+08,150439315
"2/7/1997","Dante's Peak",1.15e+08,178191885
"6/21/1996","Eraser",1e+08,234387469
"6/21/1996","The Hunchback of Notre Dame",1e+08,325478752
"7/28/1995","Waterworld",1.75e+08,264214660
"6/16/1995","Batman Forever",1e+08,336495936
"7/15/1994","True Lies",1e+08,365291539
"7/2/1991","Terminator 2: Judgment Day",1e+08,513815401
